id,user_id,license_no,national_id,license_expiry,date_of_birth,kyc_status,status,demerit_points,created_at,updated_at
0cdbeee8-49ac-43f8-974c-4ef9a40e6cae,3ec54ffd-9daf-4b69-a809-426afd6a208b,PP-7024,01090000024,2029-12-31,1984-01-15,approved,active,0,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
6f7b8b20-f21f-431e-9f2a-1fe724cfe55c,1b7538c7-7981-4310-814c-e513a8dc90a5,PP-7025,01090000025,2029-12-31,1985-01-15,approved,active,3,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
0d42c32a-9b12-4a13-8abd-9357fc9f6582,1cb301a1-562a-4a9a-a46e-c33a58b5d213,PP-7026,01090000026,2029-12-31,1986-01-15,pending,active,5,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
90ad9856-eb8e-415f-a6e2-534504bc4d12,2b4df669-1139-4872-b7a6-104550120312,PP-7027,01090000027,2029-12-31,1987-01-15,approved,active,5,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
391e6091-13f7-48c1-bcb5-539b661545a7,46740461-c0c0-4a8a-bb81-8de6f1939e47,PP-7028,01090000028,2029-12-31,1988-01-15,approved,active,2,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
31af9cfb-711d-4dad-9a6b-d2b1de095efb,2f611083-e288-4051-9b6f-7ddc7cb279a2,PP-7029,01090000029,2029-12-31,1989-01-15,pending,active,4,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
5ed925c3-76f7-4660-804f-ce7495dec685,329f0a4d-b634-4efb-9f7a-f75b95687171,PP-7030,01090000030,2029-12-31,1990-01-15,pending,active,4,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
addad752-08da-479a-aee8-f3e5ef83e4ce,4fccb4bb-c327-4017-927e-5957c1081f28,PP-7031,01090000031,2029-12-31,1991-01-15,approved,active,4,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
75b9f778-fba6-416d-a50e-5d03c12bb003,413c08c5-49f6-4e22-8c3b-34dc55336716,PP-7032,01090000032,2029-12-31,1992-01-15,pending,active,5,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
05dd233b-a358-4910-a8c7-d9e5c854397d,e5de8574-443b-4dc5-9279-9680806d6a0a,PP-7033,01090000033,2029-12-31,1993-01-15,approved,active,4,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
273e1d24-1bb8-4afb-9f15-76ffd2ac22aa,a52af9d2-e50c-4e45-a98c-6fa94995cca6,PP-7034,01090000034,2029-12-31,1994-01-15,approved,active,2,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
ec426cbe-3304-4f8b-a7c5-c18e42dda0a4,51fcfd22-dd27-4df0-986e-ff4dbb2a25e7,PP-7035,01090000035,2029-12-31,1995-01-15,pending,active,3,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
f178b1f6-9e21-4a84-87a2-e509e2d92cb3,87d87928-e103-4513-9b6c-95ce25e9d8a6,PP-7036,01090000036,2029-12-31,1996-01-15,approved,active,0,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
f805dd64-cd55-4e91-aef8-16a4b56bf159,10a75e26-03d7-42de-b5f5-f0090f8f8aed,PP-7037,01090000037,2029-12-31,1997-01-15,approved,active,4,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
f5a4dd2e-0b3c-423f-a30c-0d70ece5187f,32230e64-63fa-4369-85cf-4870bbdb6f6a,PP-7038,01090000038,2029-12-31,1998-01-15,approved,active,6,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
8bd5f8f5-4fc9-4ed1-85ce-a2390786c60f,5dcc44ff-513c-4a71-a614-7600fde2ce62,PP-7039,01090000039,2029-12-31,1999-01-15,pending,active,6,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
3b0a0d72-0442-4dfb-bb93-2beba59567e8,49029027-000a-4ca8-af66-46d6be07bf3d,PP-7040,01090000040,2029-12-31,1980-01-15,approved,active,1,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
612d854d-1094-41ce-933c-7541d7c6493d,77b0b79a-5fb7-417b-a050-d0b4cb58f229,PP-7041,01090000041,2029-12-31,1981-01-15,pending,active,6,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
58fb686a-845c-4f07-98fe-cde1dd7d9a0c,7bfdbaab-2ae4-4289-94e2-3021f088c7ed,PP-7042,01090000042,2029-12-31,1982-01-15,approved,active,3,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
930e1c8d-5197-47c2-a0bd-2a7ab7f5e3f3,dd604e9e-cdd3-45a9-896e-2d2c1d2d16fc,PP-7043,01090000043,2029-12-31,1983-01-15,pending,active,3,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
3ea75361-75ec-42a0-832f-ae836003ad4e,55f5d407-dcf3-4212-b029-e606c9701dd6,PP-7044,01090000044,2029-12-31,1984-01-15,approved,active,1,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
58bda66e-ffe0-47ee-9e7b-46841703663e,228d3b4d-99c1-4636-af56-fd1ff81a01dd,PP-7045,01090000045,2029-12-31,1985-01-15,approved,active,3,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
6b98cde5-e430-4e7d-907c-c065dfc2b7da,90874d50-1c54-4a1f-bfe1-b22551b99608,PP-7046,01090000046,2029-12-31,1986-01-15,approved,active,5,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
0e972e3a-e684-4f41-b53f-31c813f47954,836de8dd-512b-4d48-85c2-f823d334131f,PP-7047,01090000047,2029-12-31,1987-01-15,pending,active,4,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
ce7a83fe-5cf5-4563-b766-d1f3013bfaf2,8e67bba3-12b0-4bb2-9724-f15e8db92aba,PP-7048,01090000048,2029-12-31,1988-01-15,approved,active,5,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
36165f7c-3123-475c-a692-4234959b0a9b,4c5e5dbb-c981-49c3-a839-4c2cb0a8f9aa,PP-7049,01090000049,2029-12-31,1989-01-15,approved,active,5,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
